word,Sim. to woman BEFORE,Sim. to man BEFORE,diff BEFORE,Sim. to woman AFTER,Sim. to man AFTER,diff AFTER
employee,0.5854,0.5497,0.0357,-0.0076,-0.0237,0.0161
entrepreneur,0.4025,0.5334,-0.1309,0.0158,0.0071,0.0087
farmer,0.5876,0.6057,-0.0181,0.0142,-0.0024,0.0167
filmmaker,0.4083,0.448,-0.0397,0.0013,0.0176,-0.0163
footballer,0.4015,0.4332,-0.0317,0.0156,0.026,-0.0104
geologist,0.4019,0.4527,-0.0509,-0.0255,-0.0083,-0.0172
guitarist,0.403,0.4089,-0.0058,-0.0202,-0.0233,0.0031
historian,0.3604,0.4186,-0.0582,0.0071,0.0224,-0.0153
inspector,0.5202,0.5321,-0.0119,0.0269,0.0254,0.0015
instructor,0.5334,0.5423,-0.0089,0.0281,0.0314,-0.0033
investigator,0.4223,0.512,-0.0897,0.027,0.003,0.024
journalist,0.3487,0.408,-0.0592,0.0354,0.0337,0.0016
judge,0.3777,0.4232,-0.0455,0.026,0.0486,-0.0226
landlord,0.4318,0.4636,-0.0318,0.0154,0.0176,-0.0022
lawyer,0.4621,0.5371,-0.075,0.012,-0.0077,0.0197
magician,0.2619,0.3514,-0.0895,0.0079,-0.0226,0.0304
manager,0.47,0.4881,-0.0181,-0.0081,0.0099,-0.018
mechanic,0.4221,0.4262,-0.0041,-0.0057,-0.0034,-0.0024
minister,0.4558,0.5492,-0.0934,-0.0001,0.0053,-0.0054
musician,0.4019,0.4729,-0.071,0.034,0.0256,0.0084
nun,0.1977,0.1985,-0.0008,0.0004,0.0528,-0.0524
observer,0.282,0.2677,0.0143,0.0159,0.0266,-0.0107
officer,0.6212,0.6808,-0.0596,0.0194,0.0148,0.0046
painter,0.4892,0.4551,0.0341,-0.0153,-0.0273,0.012
pastor,0.4452,0.4827,-0.0376,-0.0101,-0.0051,-0.005
philanthropist,0.4656,0.3945,0.0712,-0.0469,-0.0457,-0.0012
playwright,0.4033,0.4164,-0.0131,0.0105,-0.0005,0.011
politician,0.4947,0.5996,-0.1049,0.017,0.011,0.0061
president,0.4587,0.5526,-0.0939,0.0248,0.0324,-0.0076
principal,0.455,0.4412,0.0138,-0.0287,0.0035,-0.0322
prisoner,0.5411,0.6419,-0.1008,0.0158,0.0122,0.0036
professor,0.4137,0.4815,-0.0678,0.0074,-0.0046,0.012
promoter,0.3333,0.3307,0.0026,0.0488,0.0888,-0.04
prosecutor,0.3606,0.4354,-0.0748,0.0493,0.0367,0.0126
protagonist,0.3594,0.4439,-0.0845,-0.0191,0.0505,-0.0696
psychiatrist,0.2927,0.2973,-0.0046,0.0159,0.002,0.0139
ranger,0.3059,0.3285,-0.0226,0.0044,-0.0106,0.015
saint,0.3517,0.37,-0.0183,0.0262,0.0127,0.0135
scholar,0.3897,0.4719,-0.0821,0.0068,0.021,-0.0142
secretary,0.4459,0.4477,-0.0018,0.0083,-0.0027,0.011
sergeant,0.5097,0.5483,-0.0386,-0.0105,-0.021,0.0105
singer,0.5455,0.4729,0.0726,-0.0063,-0.0266,0.0202
soldier,0.6092,0.6597,-0.0506,-0.0093,-0.0213,0.012
student,0.4773,0.5479,-0.0706,0.0418,0.0506,-0.0088
substitute,0.4415,0.4386,0.0029,0.0085,0.0253,-0.0168
superintendent,0.3306,0.4105,-0.0799,0.0067,0.0023,0.0044
surgeon,0.4459,0.4747,-0.0288,0.0475,0.0521,-0.0045
teacher,0.4731,0.4317,0.0415,0.033,0.0255,0.0075
teenager,0.6288,0.6794,-0.0506,-0.0007,-0.0017,0.0011
worker,0.6173,0.5966,0.0207,0.0388,0.0449,-0.0062
writer,0.5006,0.5192,-0.0186,0.0046,0.0158,-0.0112
